回测区间,版本,期末净值,年化收益,年化波动,夏普比率,最大回撤,月度胜率
全局 (Signal Period),v0.15,2.0137,9.25%,5.26%,1.71,-6.45%,68.69%
全局 (Signal Period),v0.16,2.3697,11.52%,6.63%,1.68,-7.47%,67.68%
全局 (Signal Period),v0.16_2,2.0558,9.54%,5.31%,1.74,-6.90%,69.70%
全局 (Signal Period),v0.16_3,2.1703,10.29%,5.24%,1.90,-7.13%,70.71%
2018年,v0.15,1.0360,3.77%,4.47%,0.84,-3.73%,66.67%
2018年,v0.16,1.0317,3.34%,5.44%,0.62,-4.31%,66.67%
2018年,v0.16_2,1.0391,4.11%,4.45%,0.92,-3.58%,66.67%
2018年,v0.16_3,1.0431,4.55%,4.57%,1.00,-3.96%,66.67%
2019年,v0.15,1.1020,10.60%,3.73%,2.71,-2.18%,83.33%
2019年,v0.16,1.1616,16.86%,7.19%,2.20,-5.77%,83.33%
2019年,v0.16_2,1.1099,11.37%,3.94%,2.77,-2.45%,83.33%
2019年,v0.16_3,1.1203,12.44%,4.17%,2.83,-2.30%,83.33%
2020年,v0.15,1.0834,8.66%,6.13%,1.37,-6.45%,66.67%
2020年,v0.16,1.1457,15.15%,8.72%,1.68,-7.47%,66.67%
2020年,v0.16_2,1.0946,9.83%,6.57%,1.46,-6.90%,66.67%
2020年,v0.16_3,1.1002,10.41%,6.67%,1.52,-7.13%,66.67%
2021年,v0.15,1.1123,11.67%,6.06%,1.85,-3.80%,66.67%
2021年,v0.16,1.0928,9.64%,7.15%,1.26,-5.88%,66.67%
2021年,v0.16_2,1.1088,11.31%,6.02%,1.79,-3.60%,66.67%
2021年,v0.16_3,1.1134,11.78%,6.02%,1.88,-3.31%,66.67%
2022年,v0.15,1.0521,5.43%,6.28%,0.85,-4.80%,66.67%
2022年,v0.16,1.0592,6.17%,6.12%,0.99,-5.73%,66.67%
2022年,v0.16_2,1.0551,5.75%,6.09%,0.93,-4.75%,66.67%
2022年,v0.16_3,1.0720,7.51%,6.17%,1.20,-4.98%,66.67%
2023年,v0.15,1.0902,9.41%,3.38%,2.66,-2.05%,66.67%
2023年,v0.16,1.1064,11.10%,3.92%,2.73,-3.00%,58.33%
2023年,v0.16_2,1.0927,9.67%,3.48%,2.67,-2.05%,58.33%
2023年,v0.16_3,1.0992,10.35%,3.50%,2.83,-2.05%,58.33%
2024年,v0.15,1.1117,11.66%,5.18%,2.16,-3.45%,75.00%
2024年,v0.16,1.1283,13.39%,6.61%,1.92,-5.66%,75.00%
2024年,v0.16_2,1.1138,11.88%,5.54%,2.06,-3.69%,75.00%
2024年,v0.16_3,1.1097,11.45%,4.65%,2.35,-2.69%,75.00%
2025年,v0.15,1.0922,9.58%,5.08%,1.81,-3.79%,75.00%
2025年,v0.16,1.1463,15.21%,6.42%,2.47,-4.40%,83.33%
2025年,v0.16_2,1.0958,9.96%,5.05%,1.92,-3.73%,75.00%
2025年,v0.16_3,1.1073,11.15%,4.89%,2.19,-2.86%,75.00%
2026年,v0.15,1.0509,25.03%,8.35%,3.09,-2.44%,100.00%
2026年,v0.16,1.0409,19.76%,8.91%,2.10,-4.04%,100.00%
2026年,v0.16_2,1.0437,21.24%,7.58%,2.84,-2.63%,100.00%
2026年,v0.16_3,1.0471,23.03%,7.10%,2.96,-2.61%,100.00%
